pico_acucar,area_acucar,pico_aroma,area_aroma,pico_polifenois,area_polifenois,pico_proteinas,area_proteinas,pico_acidos,area_acidos
0.8899790113333333,153.57339944800998,0.3237006806666667,4.41533174350662,0.7801799326666667,100.29465007905326,1.2078454666666667,95.93902845388334,0.45310758,34.215007745840026
0.8963494246666667,153.84079088393128,0.3219019966666667,4.396731699179953,0.783180768,100.69594882492657,1.2079402000000001,95.95587066919,0.4526558093333334,34.182909735706694
0.8617532573333334,152.1756520635973,0.32291863400000004,4.411874517779953,0.7899406966666668,100.68562388462658,1.2174602600000002,96.56430102107,0.45140161333333334,34.13798855210002
0.8546667733333333,151.63062131200132,0.3201042393333334,4.37262483088662,0.7904216926666668,99.86527063091326,1.2211707933333333,96.55208377786667,0.45047909866666674,34.06010410076002
0.9128884073333334,152.89050515739936,0.3128390266666667,4.265075812486621,0.7701090426666668,97.79919003265327,1.2112837066666668,95.25726794224,0.4460048826666667,33.722053393893354
0.8918393760000002,153.13406608184897,0.31997429,4.365004321099953,0.7790623393333334,99.3457973996066,1.2111633533333335,95.77085003119333,0.449557896,33.91472354660002
0.889947746,152.86112381435632,0.3183184273333334,4.34134298558662,0.7792742153333333,99.01623835305993,1.21315756,95.80174150132,0.4484655333333334,33.83298020179336
0.9009639133333334,153.42730952791067,0.3157512066666667,4.308402360613288,0.778710816,99.25349207833327,1.21111152,95.65829379370335,0.44869676666666664,33.91098389110668
0.9095209613333334,153.2409904485413,0.31562598533333336,4.305971730193287,0.7729309766666667,98.6935253742066,1.2070952266666668,95.30792984549001,0.447566156,33.76821155310002
0.8651676106666667,151.63162638126798,0.31383933133333336,4.288943185793287,0.793810284,99.49613021281992,1.2278822733333332,96.70453406312333,0.44661228599999997,33.839807026100026
0.8914285080000002,152.57737661919566,0.3168325,4.323296999226621,0.779092882,98.52378997505993,1.21768716,95.89733359002,0.4494155906666667,33.98607294846002
0.8908348773333334,151.87629259294698,0.31366172000000003,4.2788777970399545,0.779523798,98.24902419464661,1.2172744333333332,95.76130547810668,0.44669865733333336,33.76815346910669
